k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
144.000000,2.880000,0.000000,8.650000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.969285,-0.053996,5.283439,2.634845,0.369533,2.004395
145.000000,2.900000,0.000000,8.710000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.934584,-0.094337,5.323527,2.713460,0.373433,2.064267
146.000000,2.920000,0.000000,8.770000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.897327,-0.134498,5.364813,2.790935,0.374312,2.121369
147.000000,2.940000,0.000000,8.830000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.857490,-0.174307,5.407240,2.866537,0.373061,2.176471
148.000000,2.960000,0.000000,8.890000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.815051,-0.213569,5.450769,2.939876,0.369941,2.229574
149.000000,2.980000,0.000000,8.950000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.770004,-0.252073,5.495361,3.010675,0.365000,2.280591
150.000000,3.000000,0.000000,9.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.722355,-0.289604,5.540973,3.078704,0.358207,2.329424
151.000000,3.020000,0.000000,9.070000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.672134,-0.325944,5.587561,3.038373,0.335497,2.282530
152.000000,3.040000,0.000000,9.130000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.621186,-0.359736,5.633212,2.996836,0.323068,2.246633
153.000000,3.060000,0.000000,9.190000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.569560,-0.390864,5.678144,2.954638,0.316889,2.213853
154.000000,3.080000,0.000000,9.250000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.517352,-0.419263,5.722422,2.911987,0.314990,2.181771
155.000000,3.100000,0.000000,9.310000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.464682,-0.444902,5.766057,2.868982,0.316109,2.149423
156.000000,3.120000,0.000000,9.370000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.411679,-0.467774,5.809045,2.825685,0.319281,2.116436
157.000000,3.140000,0.000000,9.430000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.358484,-0.487896,5.851374,2.782141,0.323699,2.082763
158.000000,3.160000,0.000000,9.490000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.305240,-0.505303,5.893029,2.738387,0.328655,2.048569
159.000000,3.180000,0.000000,9.550000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.252088,-0.520054,5.934001,2.694463,0.333552,2.014130
160.000000,3.200000,0.000000,9.610000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.199168,-0.532223,5.974283,2.650407,0.337921,1.979726
161.000000,3.220000,0.000000,9.670000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.146614,-0.541899,6.013878,2.632329,0.325270,1.818299
162.000000,3.240000,0.000000,9.730000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.094135,-0.549636,6.050244,2.609460,0.329922,1.801378
163.000000,3.260000,0.000000,9.790000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.041832,-0.555263,6.086271,2.587119,0.331845,1.785379
164.000000,3.280000,0.000000,9.850000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.989791,-0.558878,6.121979,2.565065,0.332437,1.769920
165.000000,3.300000,0.000000,9.910000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.938087,-0.560549,6.157377,2.543181,0.332397,1.754704
166.000000,3.320000,0.000000,9.970000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.886792,-0.560336,6.192472,2.521410,0.332045,1.739618
167.000000,3.340000,0.000000,10.030000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.835969,-0.558291,6.227264,2.499727,0.331517,1.724618
