node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8387.000000,4404.000000,0.000000,0.000000,0.225420,2.209904,0.200000,2.000000,3.560713,-2.578589,2.273325,3.967510,1.829714,-0.022035,-0.270604,-0.008599,-0.017610
8388.000000,294.000000,0.000000,0.000000,0.209594,0.434694,0.200000,0.400000,1.179449,0.079607,1.050702,1.311199,3.064721,-0.296287,-2.015703,-0.257336,0.084086
8389.000000,8056.000000,2.000000,2.000000,0.234831,2.661411,0.200000,2.400000,2.531840,-2.152606,1.181084,5.312356,0.747999,0.156706,0.623627,0.336473,-0.090811
8390.000000,6017.000000,1.000000,1.000000,0.224316,2.432935,0.200000,2.200000,3.206294,-2.529569,1.812244,4.638539,1.046996,0.145973,0.299221,0.326034,-0.029123
8391.000000,6757.000000,0.000000,0.000000,0.224358,1.764321,0.200000,1.600000,3.702391,-2.191514,2.805173,3.674432,2.164165,0.217955,1.245786,0.226307,-0.065211
8392.000000,3906.000000,0.000000,0.000000,0.220631,1.104675,0.200000,1.000000,3.033035,-0.205026,2.729058,1.866783,1.077203,0.091116,0.986599,0.131658,-0.029931
8393.000000,2878.000000,0.000000,-1.000000,0.217950,3.515323,0.200000,3.200000,1.774886,-1.602296,0.471648,5.285626,2.082749,-0.041061,0.037425,-0.054154,0.017022
8394.000000,6868.000000,0.000000,0.000000,0.212837,3.084021,0.200000,2.800000,1.863552,-1.728308,-0.241625,5.157051,2.988204,0.099041,0.573455,0.075751,0.059115
8395.000000,566.000000,0.000000,0.000000,0.232659,1.113546,0.200000,1.000000,3.271410,-0.412816,2.949869,1.669940,0.735559,0.126936,1.055660,0.233294,-0.062716
8396.000000,7109.000000,0.000000,0.000000,0.218323,1.759336,0.200000,1.600000,3.704021,-2.089789,2.847553,3.509134,3.245199,0.247638,1.575432,0.191336,0.039249
8397.000000,6828.000000,0.000000,0.000000,0.217768,2.864842,0.200000,2.600000,1.770109,-1.523884,0.675750,6.047725,2.961169,0.392015,2.518821,0.332663,0.057727
8398.000000,1207.000000,0.000000,0.000000,0.216878,1.988991,0.200000,1.800000,4.039705,-1.693895,3.486549,2.999599,1.062411,0.075870,0.033001,0.216175,0.026487
8399.000000,7308.000000,0.000000,0.000000,0.220961,3.535457,0.200000,3.200000,1.392610,-1.092508,-0.762517,5.422373,0.799946,-0.114004,-0.229595,-0.089019,-0.003483
8400.000000,4585.000000,0.000000,0.000000,0.205859,3.081924,0.200000,2.800000,2.589792,-2.369484,0.765674,4.799554,2.162538,-0.287742,-1.429330,-0.250162,0.061758
8401.000000,7816.000000,0.000000,0.000000,0.210408,3.739815,0.200000,3.400000,1.301687,-0.993395,-0.557855,5.162956,2.999832,-0.031644,-0.198189,-0.026003,0.091573
8402.000000,8100.000000,0.000000,0.000000,0.230086,2.436259,0.200000,2.200000,3.175227,-2.599301,1.630811,4.439668,1.925744,0.026720,0.136953,0.028585,-0.079622
